Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
SOCAL-CINMS_B_34,147-170608,855,2.86,34-17.062 N,,120-01.596 W,,580,6/8/2017,10/3/2017,R,200,0,0,0,6/8/2017,18:00:00,10/3/2017,23:03:02,117.2
SOCAL-CINMS_B_35,102-171003,823,2.87,34-16.534 N,,120-01.113 W,,577,10/3/2017,2/16/2018,R,200,0,0,0,10/4/2017,0:00:00,2/5/2018,6:46:15,124.3
SOCAL-CINMS_B_36,138-180216,858,2.87,34-16.566 N,,120-01.087 W,,577,2/16/2018,7/11/2018,R,200,0,0,0,2/17/2018,0:00:00,7/11/2018,15:36:59,144.7
SOCAL-CINMS_B_37,107-180711,803,2.87,34-16.588 N,,120-01.066 W,,576,7/11/2018,11/27/2018,R,200,0,0,0,7/12/2018,0:00:00,11/28/2018,3:55:00,139.2
SOCAL-CINMS_B_38,133-181127,738,2.87,34-14.903 N,,120-01.618 W,,585,11/27/2018,4/15/2019,R,200,0,0,0,11/27/2018,20:00:00,4/15/2019,21:27:14,139.1
SOCAL-CINMS_C_29,33-151004,762,2.05A,34-19.560 N,,120-48.416 W,,755,10/4/2015,3/16/2016,R,320,0,0,1,10/5/2015,0:00:00,12/18/2015,2:35:29,74.1
SOCAL-CINMS_C_30,16-160317,762,2.05A,34-19.430 N,,120-48.412 W,,755,3/16/2016,7/27/2016,R,320,0,0,0,3/17/2016,0:00:00,7/27/2016,20:21:58,131.8
SOCAL-CINMS_C_31,133-160726,697,2.6,34-19.477 N,,120-48.417 W,,756,7/27/2016,11/9/2016,R,320,0,0,0,7/28/2016,0:00:00,11/9/2016,21:19:42,104.9
SOCAL-CINMS_C_32,139-161108,762,2.61,34-19.455 N,,120-48.426 W,,760,11/9/2016,2/22/2017,R,320,0,0,0,11/10/2016,0:00:00,2/22/2017,8:36:03,104.4
SOCAL-CINMS_C_33,133-170222,697,2.62,34-19.446 N,,120-48.308 W,,755,2/22/2017,2/20/2017,R,320,0,0,0,2/22/2017,18:00:00,6/8/2017,2:26:53,105.4
SOCAL-CINMS_C_34,155-170608,762,2.62,34-19.436 N,,120-48.341 W,,755,6/8/2017,10/4/2017,R,320,0,0,0,6/8/2017,6:00:00,10/4/2017,4:18:19,117.9
SOCAL-CINMS_C_35,135-171004,697,2.63,34-19.412 N,,120-48.445 W,,755,10/4/2017,2/16/2018,R,320,0,0,1,10/4/2017,4:00:00,10/27/2017,23:08:38,23.8
SOCAL-CINMS_C_36,155-190217,762,2.63,34-19.440 N,,120-48.389 W,,758,2/17/2018,7/11/2018,R,320,0,0,1,2/17/2018,0:00:00,6/29/2018,18:54:29,132.8
SOCAL-CINMS_C_37,138-180711,697,2.63,34-19.365 N,,120-48.567 W,,766,7/11/2018,1/23/2019,R,320,0,0,0,7/12/2018,0:00:00,12/1/2018,13:22:33,142.6
SOCAL-CINMS_C_38,139-190124,762,2.63,34-19.366 N,,120-48.556 W,,765,1/23/2019,4/15/2019,R,320,0,0,0,1/24/2019,0:00:00,4/12/2019,19:31:52,78.8
CSM01-A,11-050426,NULL,NULL,18-43.325 N,,158-15.230 W,,398,4/26/2005,11/17/2005,R,200,25,5,0,4/26/2005,22:00:00,9/12/2005,10:37:27,138.5
CSM02-A,13-051118,H100/33,1.17,18-43.343 N,,158-15.221 W,,396,11/19/2005,11/27/2007,R,200,25,5,0,11/20/2005,0:00:00,5/11/2006,0:09:28,173
CSM_A_03,-160717,734,2.02U,18-43.334 N,,158-15.224 W,,400,7/17/2016,7/25/2016,R,200,0,0,0,NULL,NULL,NULL,NULL,NULL
SOCAL-DCPPA01,33-121006,688,2.05A,35-36.650 N,,121-14.500 W,,65,11/6/2012,3/19/2013,R,320,0,0,1,11/7/2012,2:00:00,3/20/2013,0:30:18,133
SOCAL-DCPPB01,27-121006,686,2.05A,35-09.590 N,,120-53.140 W,,97,11/6/2012,3/19/2013,R,320,0,0,1,11/7/2012,2:00:00,3/19/2013,19:52:41,132
SOCAL-DCPPC01,67-121006,682,2.02S,35-24.000 N,,121-33.750 W,,1000,11/6/2012,3/19/2013,R,200,0,0,0,11/7/2012,2:00:00,3/19/2013,22:48:45,132
SOCAL-DCPPA02,16-130320,686,2.05A,35-36.639 N,,121-14.506 W,,66,3/20/2013,9/20/2013,R,320,0,0,0,3/20/2013,18:00:00,9/17/2013,0:24:31,180
